f0, f1, 
3.99752, 3.8534e-07, 
1.85513e-08, 3.99946, 
0.815584, 1.2032, 
0.426511, 1.8142, 
1.29378, 0.743999, 
0.706522, 1.34433, 
1.15544, 0.855781, 
0.060933, 3.07355, 
0.557756, 1.57043, 
0.629876, 1.45529, 
2.16652, 0.278879, 
3.01744, 0.0691277, 
0.0252897, 3.38918, 
0.120354, 2.73267, 
0.167608, 2.53001, 
0.944426, 1.05716, 
3.50403, 0.0164083, 
2.3532, 0.217144, 
0.00598639, 3.6965, 
1.98654, 0.348751, 
3.64571, 0.00821306, 
1.92495, 0.375246, 
1.5695, 0.558315, 
2.24055, 0.253163, 
1.00169, 0.998309, 
3.18408, 0.0464837, 
1.63349, 0.521167, 
2.73227, 0.120439, 
0.302486, 2.10254, 
0.0900094, 2.88995, 
0.253169, 2.24053, 
1.41217, 0.658779, 
2.8914, 0.0897527, 
3.87314, 0.00102207, 
0.000967594, 3.87654, 
2.83697, 0.0996471, 
3.21744, 0.0425506, 
0.0641167, 3.05127, 
3.35546, 0.0282937, 
0.0862928, 2.91127, 
0.5667, 1.55552, 
0.00930371, 3.62348, 
1.07393, 0.928706, 
1.81445, 0.426389, 
3.3878, 0.0254093, 
0.194647, 2.4299, 
0.13825, 2.65097, 
1.81419, 0.426513, 
1.71463, 0.476876, 
1.4779, 0.615144, 
