f0, f1, 
3.99438, 1.97564e-06, 
4.04026, 0.000100791, 
1.64681e-07, 3.99838, 
2.3103, 0.230433, 
3.61947, 0.00950794, 
2.53248, 0.166973, 
2.73002, 0.120911, 
1.9673, 0.356882, 
3.28216, 0.0354666, 
3.25192, 0.0386873, 
1.75641, 0.455225, 
1.30458, 0.735855, 
2.94648, 0.0803548, 
0.934279, 1.06795, 
1.90342, 0.38484, 
0.478949, 1.7107, 
0.302716, 2.10193, 
2.94324, 0.0808897, 
0.358181, 1.96425, 
1.15835, 0.853279, 
0.44284, 1.78099, 
0.154559, 2.582, 
3.84521, 0.00152714, 
0.220749, 2.34139, 
0.0020554, 3.82071, 
0.00582858, 3.70045, 
0.537452, 1.60501, 
0.691421, 1.36535, 
0.035131, 3.2854, 
0.846352, 1.16646, 
0.605087, 1.49359, 
1.07993, 0.92314, 
0.831496, 1.18404, 
0.0928249, 2.87414, 
0.656776, 1.41511, 
1.42943, 0.647082, 
0.0530673, 3.13161, 
1.46615, 0.622766, 
0.0576002, 3.0976, 
0.0790012, 2.95472, 
0.749392, 1.28669, 
0.117814, 2.74485, 
0.398321, 1.87381, 
0.122994, 2.72017, 
1.55763, 0.565427, 
1.22179, 0.800406, 
1.65243, 0.510557, 
0.255646, 2.23319, 
1.04428, 0.956681, 
0.0139639, 3.54129, 
