f0, f1, 
0.95314, 0.480175, 
0.958008, 0.488137, 
2.41767e-10, 1.74483, 
2.70885e-10, 1.37184, 
0.00988793, 1.2204, 
2.41895e-10, 1.57652, 
0.125, 1.19999, 
0.20314, 1.15019, 
2.41796e-10, 1.63988, 
0.296875, 1.16809, 
0.9375, 0.57015, 
0.703125, 0.760038, 
0.4375, 1.10693, 
0.751953, 0.722089, 
0.453125, 1.02918, 
0.595718, 0.892766, 
0.798828, 0.679685, 
0.376953, 1.14147, 
0.890648, 0.590317, 
0.75, 0.816165, 
0.3125, 1.19478, 
0.517578, 0.982336, 
0.9375, 0.499771, 
0.539078, 0.945466, 
0.650391, 0.822232, 
0.437504, 1.07969, 
0.375, 1.14946, 
0.632813, 0.865159, 
0.57814, 0.924474, 
0.85939, 0.627497, 
0.5, 1.02202, 
0.875023, 0.610498, 
0.6875, 0.817708, 
0.158207, 1.16224, 
0.820313, 0.643391, 
0.562515, 0.940644, 
0.14064, 1.18024, 
1.62362e-08, 1.25986, 
0.642578, 0.857665, 
2.70985e-10, 1.58019, 
0.835953, 0.67167, 
0.501953, 1.01322, 
0.8125, 0.669574, 
0.750023, 0.750289, 
3.29079e-10, 1.31458, 
1.52591e-05, 1.28706, 
1.96916e-06, 1.33091, 
0.158203, 1.1664, 
6.0414e-08, 1.2922, 
2.99989e-10, 1.34833, 
