f0, f1, 
0.999967, 1.00003, 
9.69308e-08, 3.99875, 
0.421033, 1.82555, 
0.332201, 2.02673, 
0.489181, 1.69152, 
0.379517, 1.91532, 
0.610277, 1.48547, 
0.0968794, 2.85186, 
0.190398, 2.44501, 
0.312256, 2.07706, 
0.0152059, 3.52196, 
0.931774, 1.07064, 
0.074893, 2.98023, 
0.683289, 1.37684, 
0.642532, 1.43621, 
0.962228, 1.0385, 
0.16372, 2.54523, 
0.85964, 1.15097, 
0.583495, 1.52802, 
0.278548, 2.16744, 
0.0476143, 3.17479, 
0.815681, 1.20308, 
0.288557, 2.13986, 
0.248483, 2.25456, 
0.722569, 1.32241, 
0.149421, 2.60322, 
0.389948, 1.89212, 
0.117148, 2.74807, 
0.535111, 1.60906, 
0.216603, 2.35498, 
0.118042, 2.74375, 
0.89653, 1.10912, 
0.0240595, 3.40361, 
0.138872, 2.64825, 
0.00776884, 3.6552, 
0.750029, 1.28586, 
0.0375555, 3.26239, 
0.862231, 1.14797, 
0.0619852, 3.06611, 
0.0194033, 3.46222, 
0.0303671, 3.33332, 
0.7592, 1.27392, 
0.054051, 3.1241, 
0.982391, 1.01777, 
0.00473345, 3.72953, 
0.000668914, 3.89722, 
0.491747, 1.68676, 
0.78987, 1.23488, 
0.708953, 1.34098, 
0.513817, 1.64658, 
